"","text"
"873","alhirnya berhasil memdapatkan paylater  kali memcoba makasih   pake aplikasinya nih tuk booking hotel  pasawat pertahankan  tingkatkan ya asik   limitnya mantap"
"874","kl problemyg  alami  terselesaikanbaru  tambahin bintang nyabahkan bintang  kasih"
"875","aplikasi payah cek ketersediaan hotel   tersedia cek aplikasi  tersedia hubungi cs   penjelasan  penyelesaikan   sulit  mengakui   aplikasi  payah "
"876","    pesan tiket pesawat klik icon tiket pesawat   "
"877","mudah dlm memesan  pilihan u pembayaran nya semoga   promosi yg menarik"
"878","aplikasinya mudah digunakanselalu  tawaran  menguntungkan"
"879"," sihh   pembayaran loading nyah  bgt pdhal  instal  kuota stabil gimana nihh   bayar tolong bantu"
"880","cepet banget pesanannya hangus  butuh   tf tpi  pesan  ya oke  g  khawatir"
"881"," pesan ticket jam penerbangan    bandara jam update berubah jam terbang  ticket  aplikasi   berubah   dirugikan terima kasih semoga  perbaiki kedepannya"
"882"," habis  update  gk  cek penerbangan tolong  perbaiki"
"883","  gampang  cepat prosesnya  ribet  berbelit mantap recomended bgt  sdr yg  pulkamnyari tiketdisini aja"
"884","  log in    melanjutkan pembayaran  disuruh log in  pas  log in  dikembalikan  home gimana  solusinya udah berkali kali kayak gitu"
"885","aplikasi yg  membantu data  lengkapdan harga tiket relatif murah dibandingkan dgn  aplikasi  tingkatkan  layanannya"
"886","   salah  aplikasi yg  jelek yg   pakai  customer service tp ngk  solusi  even  kesalah  sistem   ngk  pake aplikasi "
"887"," si  sistem refund adik   bayar  indomaret koq  refund    berangkat malam  koq pelayanannya bsa rumit gtu  uang yg tdi  kirim gimana yaa gk taulah pusing"
"888","  updet pas  updet gak  mulu  jaringan  kuota  aplikasi    update aplikasi   gak   ya  gak  cek tiket"
"889"," membantu  mempermudah  transaksi krn gray transaksi nya  ad dmn jd  mudah n simple"
"890","maksudnya gimana ya udah beli tiket pengen nonton kbj ep udah pakek wifi kenceng loading mulu  coba streaming  aplikasi  lancar  lihat  live chat  yg gitu  gk  sih rugi k tpi udah penasaran pen nonton tpi gk  nyesell download aplikasi  kecewall polll"
"891","susah  nntn nya  hp ga bisaa pindah  laptop ttp ga  wifi  ga   laptop uda  versi terbaru  tetep aja item wkwk  jam   nntn potongan   menit"
"892","salah  aplikasi penjualan tiket online terbaik    menerjemahkan tiket  keperluan pembuatan visa"
"893"," beli tiket  form pemesanan gagal menampilkan halaman terussss  jaringan internetku dah stabil "
"894","terlanjur beli tiket  apps  tp infonya  lengkap  info  bagasi pesawat batik tertulis no free bagasi tp app sebelah lengkap   free bagasi kg   cs via wa jg kasi infonya   g  usaha  cari tau   kapok  lgsg uninstal dah  mengecewakan "
"895","sorry to say id order gagal  kehabisan  gara loading stuck  kode bayar tolong perbaiki bug  aplikasi  solusi  customer care tdk  solusi "
"896","aplikasi     suruh login   login  suruh login  perbaiki  aplikasi   kayak gitu kebanyakan login"
"897","lumayan ok mempermudah pencarian hotel tp  pembayaran loading trus  kualitas signal  bagus mhn diperbaiki"
"898","beli tiket live  susah diakses  slowrespon  jam penayangan   fastrespon   biasadan    ga    tiket live rbucuma mengecewakan banget"
"899","balas pesan  customer  udah gitu link  error udah  tunggu sampe jam  kecewa banget  ga  informasi apapun  link yg ga   tonton   uang  kecewa aja ga  sedikitpun pemberitahuan  customer makasih"
"900","aplikasi yg enak   gunakanbnyk promonya jga"
"901"," aplikasi gimana ya   beli tiket ga     ya udah pindah  traveloka aja"
"902","keren aplikasi nta mudah hotel  indonesia   harga bersaing lanjutkan"
"903"," pesan tiket pesawat pas bayar  indomaret menunggu skitar menit tiketnya langsung  semoga  perjalan lancar  terkendala"
"904","memudahkan pecinta travel  promo menarik jugaa"
"905","ud coba playlater  x  ga disetujuin  ga  tlpn  no  kontak darurat   kekantor trs   dow aplikasi  ga  ngabisin kuota aja  ga  kasih orang limit ngapain suruh pengajuan playlater"
"906"," tertulis sesi habisselalu  log in     uninstall  "
"907","terimakasih   membantu  customer   mohon pelayanan  ditingkatkan  perihal proses pembayaran   terulang payment berhasil  booking hotel gagal"
"908","udah bayar   tanda buktisampai hotelnya  terdaftardan  kode booking beda dgn bukti terimatolong diperbaiki komunikasinya    kesalahan lagikasihan   dgn yg lainemosi sebenarnyatp  gimanakasian pelanggan   utk istrht  hrs usaha utk konfirmasi lagidan  inputan kode booking salah"
"909","  klik tulisan nya penerbangan ga  aneh aplikasi gajelas"
"910","penumpang kena covid   terbang pengajuan penggantian tanggal       bantuan blass  kecewa aplikasi  rugi total pokok ny waspadalah"
"911","kecewa  pilih tgl penerbangan  sriwijaya  transitnya dialihkan smpe tgl  beli tiket krna yg durasi tersingkat kl  bkn tersingkat tp  bkin  repot kecewa   solusinya"
"912"," penerbangan  tinggal jam     tombol klik  check in parah"
"913","mudah pesan hotel  promosi  pilihan membayar  sgt variatif shg shg memudahkan "
"914","paylater nya susah  acc mohon  permudah kalo niat aplikasi rekomended banget  membantu good job"
"915","aplikasinya gak  fitur pencarian  cari tiket waterpark bingung dimana pusing gak ketemu  unistal deh maaf"
"916","udah  banget beli tiket dsini  gampang murah  promo"
"917","coba perbaiki deh fitur pembayarannya  coba booking  aplikasi susah banget pakai shopeepay gak   coba bayar pake virtual account jg gak  "
"918","  mengecewakandi refund   kasih voucer penerbangan ulang    pulang  beli tiket lainemang kebijakan  "
"919","pembayaran     jatuh tempo  dilunasi  status dinon aktifkankecewa  pelayanannyabegitu kah  tiket payletter  nasabah     bagus traveloka limit payletter  jt pembayaran  pelayanan bagus gak  dinon aktifkanini limit  tp dinonaktifkan   penjelasanlucu"
"920"," burukk  pesen tiket tgl   pembayaran muncul tiket  tanggal    mnta  rubah dikenakan biaya tmbahan  juta  orang    merubah tanggal  keberangkatan  aplikasi   sy blm menemukan  spt  aplikasi burukkknyesel pesen tiket disinii sumpahhh "
"921","aplikasi    detail  masyarakat  seharusny nama kota  cantumkan  nama bandaranya ajacontoh pencarian traveloka detailtolong perbaikiklau  berkembang"
"922","  namanya tiket   menu tiket bis yg  lengkap  sebelah"
"923","oprator  koperatif  membantu   malam mengusahakan  bantu  cari solusi thank u ya tiket con"
"924"," nyobain langsung  bantuan   paylater nya pokok nya  tiket pesan apapun terlayani  cepat"
"925"," penginapan yg bayar  hotel knapa    kartu kredit yg ga  ttp  bayar pas pemesanan"
"926","aplikasi menipu cekbayar tgl yg  tgl ga  reschedule  refund aplikasi sampah ga "
"927","disuruh refund tiket  uang dikembalikan mala   gak   namanya penipuan  kerja susah payah  beli tiket pesawat mala dikorupsi"
"928","  aplikasi   mudahbanyak promopuas bangetttt"
"929","apk anjir   bikin kesel nya  gunanya mending jan pake apk  deh kalo  beli tiket pake pegi ato   aja tiwas mangkel"
"930","kangen tiket    user interfacenya memudahkan pengguna  promo voucher  gratisan "
"931","  lemot  bayar aja lemot soro ya  nie   gn q langganan tiket com da "
"932","   proses pembayaran loadingnya  banget  sinyal stabil   update mohon  perbaiki  ya apk  "
"933","  free protection   refund  alasan maskapai membatalkan penerbangan klaim asuransi ditolak   maskapai membatalkan penerbangan   penumpang  k  pakai asuransi free protection  cermati    kenyataannya klaim  ditolak"
"934","perbanyak  pilihan penginapannyaterutama daerah tujuan wisata"
"935","penasaran banget sebenernya  cobain aplikasi pegadaian    gue yg first timer aplikasi  bener bener gak ribet   karna tampilannya yg simple  mudah banget digunain "
"936"," proses pengajuan refund terkait pembatasan perjalanan larangan mudik  halaman personal reason   alasan kebijakan pemerintah pilihan  sakithamilpenumpang meninggalkeluarga penumpang meninggal  nominal refund  diterima tdk full "
"937"," membantu   bepergianharga tiketnya  lumayan murah dibanding  "
"938","tampilan pengguna  elegan  mudah dipahami proses order   simple  cepat"
"939","bbrp   sempet download app    kucoba karna enggan     run appnya  udah lancar tampilan bagus trusted   overall okee "
"940","tinggal  pilih metode pembayaran  loadingnya  banget sih"
"941"," proses pembayaran  sampe  kadaluarsa tolong diperbaiki   proses pembayaran"
"942","gampang    mudah mencari hotel yng  "
"943"," mudah  harga bersaing fasilitas lengkap kalo  ppromonya diperbanyak "
"944"," mudahpengajuan paylater cepathotel lengkappromo "
"945","kak     adakan promo ongkos pp   negeri    berangkat  normal   pandemibanyak    urusdan  memberatkan biayamohon jawabannya kak"
"946"," ribet  transaksi mantap semoga proses  cepat "
"947"," pakek  udah mengecewakan  tinggal bayar   jam  diam d alfamat  bayar kode gak d kasih  cs alasan internet   pindah dowlond aplikasi yg   ko  tinggal bayar langsung"
"948"," mudah penggunaan aplikasinya respon system cepat"
"949","   senang  aplikasi tiket comsegala urusan  jdi mudah "
"950","mantap harga  murah  travelokey"
"951","memudahkan banget     daerah informasi  metode pembayaran beragam  kalo  cancel pesanan  mudah terimakasihh"
"952","konyol pelayanan csnya  pesen     cancle  kena    menit ga  fleksibel"
"953","kalo situasi kaya gini  refund ga kena biaya adimin        udh booking ber "
"954","pesannya gampang harga  murah  terjangkau byk promo"
"955","mesen hotel april status berlaku nya  mei langsung cek in ga   alasan flexi   apalah   mesen hotel  nnti   gila    tau uang    ganti hotel  pakai cek in  tolak  ahirnya terlantar   april   menunggu proses refund   refund  langsung update ulasan  bintang nya sekian"
"956"," ya biaya rapidtest dibandara soekarno hatta  mahal kirain   kaya   coba pk genose   murah  udah tiket pesawatnya mahal biaya rapidnya  mahal  lg ongkos transport kesana cape deh"
"957"," melanjutkan pembayaran lodingnya  banget"
"958","memudahkan dlm booking hotel  transportasi harga lbh murah dr aplikasi yg "
"959","tiket com bodoh udah nulis nama stasiunnya   oper  stasiun    daerah gmna sih   nambah biaya go car   stasiunnya payah"
"960","mudah pengoperasiannya   terpenting pembayaran   cicil   kartu kredit yeayyyy"
"961","pengajuan refund susah uninstalhapus aja aplikasi kl uang     download   kasih bintang "
"962","aplikasi  baguspemesanan hotel  pesawatmudah digunakanbanyak discountcs  membantu   transaksi  reschedule"
"963"," lambat loading  pencarian tiket and  murah  harga tiket nya"
"964"," update promo geledek  masuk menu pembayaran loading   dicoba berkali masi loading  banget sampe kadaluarsa  lapor  cs  nunggu  nyalahin devicenya ganti device ga  login akunnya nyalahin device  ga profesional"
"965","beli tiket dll  mudah  customer servicenya ramah    membantu    kesulitan"
"966","proses refund  banget     cairr buruk   gantinya voucher  uang cash  suruh beli tiket     aktifnya  nggk  beli hangus citilink"
"967","terima kasih tiket alhamdulilah kendala refund    kembalikan garagara pembatalan maskapai    rumit  nya  kasih bintang skrg  kasih bintang semoga pelayanan nya  ok"
"968","good app    tingkatin  heheh  gada travel  bus so far pakek  ga perenah mengecewakan"
"969","aplikasi  membingungkan  memberika n pilihan tgl boking yg  sesuai dgn   merugikan   customer    ribet kapok sya pakai alikasi  lgi  mengecewakan"
"970"," ternyaman  terbaik  orang pekerja nya ramah"
"971","kerenkarena layanannya bagus nonton jurnalisa ghostbus tour  aplikasi "
"972","program   membantu   pengalaman  pembelajaran   efektif"
"973","cepat proses nya mudah dimengerti harga  kompetitif"
"974"," kecewa  pelayananannya kaka  kemaren beli tiket pesawatbuat mudik karna  perkirakan th  udah  normaludah pesen     bln yg lalutp karna  kemaren pemerintah melarang mudik trus akhrnya  cancel    custnya yg bikin kecewa  alesan  orang tua meninggalsakit kerasdan pilihan  lainya ga   pilihseakan dr   yg salah  maunya apamendoakan yg jelek  gmanaharusnya ngerti sikonya "
"975","sistemnya    bayar  jam yg  tentukan   gagal   refund  sebelah  mengecewakan "
"976","coba pesan penginapan   pembayaran  sekalicoba bayar pakai alfa  nyampe  alfa udah gak bisawaktu pemesanan pembayaran nya mohon  perpanjang "
"977","aplikasi yg  keren  sdh  elite golds cs always standby  refund yg mudah  cepat  pastiny bnyk promo"
"978","mohon  perbaiki  kali transaksi  pesan tiket   pembayaran kode bayar loadingnya susah bgt gk muncul  pesanan kadaluarsa   mengulang  kali jam     coba cari situs  alhamdulillah menit   jam nympe  cape  mohon  perbaiki terimakasih"
"979"," memuaskan  mudah  memempermudah   mengakses  kebutuhan yg berkaitan dg transfortasi hotel dll"
"980"," memudahkan perjalanan  simple  bermanfaat thanks"
"981"," bagus bermanfaat  mudah dipahami semoga kedepannya  bagus good job "
"982"," sekian  app  yg palng cock  promo app mudh  banyk pilihan pembayarn mudh refund  reschedule cc yg ramah dn dpat dilakukn dngan via email telpon  wa pokoknya tc the best cuman saran aja klo  ut pelnggan setia d kasi reward dngan trget tertntu biar lebh rajn jualannya"
"983","aplikasi   membantu  pergi kemana   aplikasi nya  bikin bingung   cari tiket pesawat airasia yg  promo tiket ribu   cek  gk  promo tiket airasia tolong aplikasi nya  perbaiki  ya sekian   info   wassalamualaikum wrwb"
"984","sampe   blm    semoga     aplikasinya  membantu"
"985","cs     solusi terkait program lion air free antigen informasi  pemesanan berbeda   print out pengen instan   buntung"
"986","bagussy  pergi kemanapun  budget miring"
"987","kasih bintang    td malam beli tiket event nya jurnalrisa tp pas  cek  my order ga   ga   gunain "
"988"," bisanya bru bikin akun  langsung logout  pas  masuk nggak  data udah lengkap semoga amanah aja ya tiket bintang   "
"989","alhamdulillah sdh percaya  aplikasi     pesan tiket    harga hotel   murah  bandingkan sebelah menariknya   latter  yg  bayar  alhamdulillah langsung acc yeeaayy   liburan  bayar  "
"990","    gak  buka paylaternya tgl jatuh tempo pembayaran paylater tanggal april    paylaternya    buka mohon bantuannya  udh  minggu  bukabuka gak  paylaternya"
"991"," refund tiket pesawat dikembalikan utuhdan pelayanan csnya ramah  baikterima kasih tiketharap dipertahankanpelayanannya  "
"992","harga  promo  bersaing  aplikasi sebelah traloka"
"993"," promonya harganya murah dibanding yg   daftar ehh coba coba daftar tiket paylater acc  langsung dapet limit liburan  bayar  "
"994","  mudah  cari destinasi wisata  bagus aplikasi  keren"
"995"," kecewa  apk   iklan bilangnya  refund  coba pake apk     refund tiket org dr org  isi formulir refund nama pesanan ssma nama rek bank sma  isi  keterangan org   refund  formulir udh sya isi   tp dr csnya  tolak proses refund saay bener  apk  buruk kdg beli tiket  berbeda  harganya  kecewa  pake apk  udh berlanggan apk  thn lbh tp  kekgini pelayananny"
"996"," iya pesen hotelvilla  batu malang  penuh  ni beneran  emang gua gaboleh liburan haduhhh"
"997","mudahg ribet  pemesanan tiket pesawat  hotelpembayaran mudah dgn   metode pembayaransering  poin  promo"
"998","  pembatalan keberangkatan  maskapai   pemberitahuan  informasi pembatalan  informasi pengembalian  refund   tiketcom   pengaduan   pemberitahuan  kabar perkembangan  tiketcom  pengaduan       itupun masuk  nomor pengaduan  maaf  sayakami   memakai jasa   terima kasih   percaya     "
"999","aplikasi   membatu    liburan tingkatkan trs pelayanan nya "
"1000","    membantu pemesanan tiket pesawat hotel dll terimakasih ya"
"1001"," join   informasi  menarik harganya   murah terjangkau        reward  bonusnya mantap"
"1002"," tolong kak   bayar pesanan tiket  paylater   buka paylater nya  tampil white screen  emang  perbaikan sistem mohon bantuannya terima kasih"
"1003","aplikasi keren  cepat mohon  pembayaran  bank bri trims"
"1004","beli tiket event to do  sistem nya gatot  kali   buffering    kepotong udah pakek kualitas  rendah  wifi udah kenceng   chat customer care respon  cepat sampek acara kelar gak  solusi  live chat  gak  udah dilampirin video permasalahan  nya foto gimana  keliatan permasalahannya emosi  malem"
"1005","paylaternya limit   g        "
"1006","alangkah   kalo  tambahin   tiket bus biar  lengkap pilihan perjalannya"
"1007","maaf  uninstall aplikasi      bertransaksi    pembayaran loading     silakan hubungi cs email wa dll  koneksi internet update pembaharua dll harap  solusi   cepat terimakasih"
"1008","    aplikasi  membantu   traveling  perjalanan bisnis"
"1009","aplikasi terpercaya bangett bagus bangett  bicara    cs      pesen    rumah "
"1010","tolong  event ghostbustour diperhatikan batas jam penayangannya kalo    diakses  jam setelahnya  tutup  pembelian tiketnya  jam   coba   cs diputarnya jam kemarin  yg  tau penayangannya   yg pagi"
"1011"," pas   beli tiket  nonton jurnalrisa  tulisan pesan     klik"
"1012","   loading  memilih fitur pembayaran nya  sinyal internet stabil"
"1013","pemesanan tiket pesawat online mudah  murah  cepat proses nya"
"1014","mohon   dilengkapi  fiturnya  min kayak apk sebelah  variant experience  eats nya   yg minat  deh "
"1015","payah sy beli tiket live  pas  buka link nya   nampak  my order buka  browserpun   gak salah    gak sreg pake aplikasi  payahhhh"
"1016","tiket    hilang    lihat kemarin      buka link kbp     tiket     my order  gimana sih dihubungi  whatsapp  respon"
"1017","aplikasi  sih   coba nginstal aplikasinya ngga  pdahal ruang yg       aj  reset  gimana tolong perbaiki y sekian trima gaji"
"1018","customer service nya ramah  membantu  aplikasinya    suka"
"1019","apk jelek ni   jalan  tulis ulasan udah  tujuan kecewa  sma sekli   konfirmasi dri  aplikasinya"
"1020"," menganti no    aktif  ribet banget persyaratan nya  tinggal kirim ja  email yg terdaftar  verifikasi pergantian no  seuatu  mudah   ribet payah dah auto uninstal pindah  sebelah"
"1021"," pikir mnggunahkam app ni hrga  murah   lumayan  app langganan sy sy kasih bntang  "
"1022"," hotel  yg  murah dibanding traveloka"
"1023","parah nih aplikasi coba booking hotel bayar pakai kartu kredit   cek in  hotelnya gak terima pembayaran online  booking online  pesan  bayar ditempat rugi deh"
"1024","pesan hotel    promo   mudah "
"1025","transaksi gampang nyaman   promo  hadiah  "
"1026","cepat  mudah tdk berbelit  mihon  infokan no kontak  aplikasi    berkontak langsung   "
"1027"," barusan beli tiket  orang berangkat   semoga   kendala  terkait sistem    kendala  kesalahan sistem kapok bin tobat beli tiket  online "
"1028","stelah diupadate tmbah ribet aplikasinya pesan hotel   trus check out mlewati  susah mo klik gak kayak aplikasi sbelum update  nyaman yg "
"1029"," gak  checkin boarding pass  mengikuti langkahnya  gak  pilihan detailnya"
"1030","tampilan terbaru tiket membingungkan kembalikan  tampilan     tampilannya  susah mencari halaman hotel pesawat to do  "
"1031","penggunaan aplikasi  mudah  membantu tingkatkan  performa  diskonnya"
"1032","  pesan  klikcari tiket tpi  gk  dipencet     dipencet"
"1033"," beda ya harga tiketnya yg  app  dripsda  app resminya maskapai"
"1034","hadehhh gilaaa sih  cari aplikasi yg  aj  kecewarefund yg  kesalahan  mrekapun   susah  aplikasi customer menghapus pemesanan pdhl  berhasil  bayar menit stl order max pembayaran x jam n taunya  h keberangkatan  status aplikasi kadaluarsagila nyalahin customer broskrg refund berbelit  akalan biar customer capek ga mo urus n  masuk  tiket pointeteppp ga mo rugi broooosistem nya bobrok ga integrated"
"1035","aplikasi okehanya customer service yg mengecewakantanya info  suruh tunggu n pulsa berjalansetelah tunggu sekian lamadisarankan cari info  aplikasi nya langsungmendingan gak  telp"
"1036","  sebulan   transaksi point    terpakai"
"1037","yah    bagus   bagus   pesan tiket langsung dikonfirmasi   etiket berhasil didownload semoga  mantap pelayanannya "
"1038","harga tiket murah  promo  sesuai syarat  ketentuan berlaku sih aplikasinya  mudah "
"1039"," nyaman semoga kedepannya     pelayanan nya"
"1040","aplikasi penipu  pesan  akun  pakai nama  marga  disaat refund  dipersulit akibat nama berbeda  nama  bank     nama aplikasi   kaitan nya  nama bank asli ribet pakai aplikasi  kecewa   "
"1041"," order mudah n  harga  murah dibanding apps sebelah ditambah fasilitas paylater nya ok banget"
"1042"," dibantu   solusi  cs  kesulitan log in  bukti   kasih  chat wa ga  sekecewa   aplikasi payah merepotkan pelanggan"
"1043"," aplikasi knapa ya   booking tiket aja   udah  alihkan trs  hompage  gak  booking tlng   aplikasinya  benahi  bikin kecewa aja"
"1044"," gimana sich app nya gk   q masuk    notifikasi sesi  habis   home trz aj kya gt pdhl  dlm app sya  tiket event nonton podcast kakak beradik horor tgl     booking hotel jg gk bs masuk tolong donk benahin"
"1045"," pesan tiket pesawat jakarta  manado sistem pembayaran via bank   menunggu beda  aplikasih    cepat  transfer via bank pelaksanaan tolong  percepat  sistemnya terima kasih"
"1046"," cobaalhamdllah sdh mlkkan perjalananbintang dluntar klau  ftur diskon yg wow diralat bintangnyabuat promonyajngan  x limit pembalian tiket nyabaru dpat grtismaunya kyk app airytpi sygnya udh ga beroprsi lgi"
"1047","mempermudah kebutuhan liburan liburan jdi lancar  nyaman"
"1048","proses refund lambat  maksimal proses   pengajuan refund       dana  kunjung  kembalikan perbaiki pelayanannya"
"1049","dapet paylater  acc    nonaktifkan gimana nih payah banget beda kaya apk sebelah  emanh  percaya   acc nyuri data segitunya banget"
"1050","  coba aplikasi   beli tiket pesawat  pas liat review nya  user yg    yg complain  mikir    aplikasi   beli tiket pesawat onlinekan gk nyaman aja   sampe kejadian "
"1051","mantep sih gua akuin harga  terjangkau  refund  gampang gaperlu ribet aman intinya mantap dah"
"1052","mohon penjelasan  transfer  booking kamar  ditransfer  nggak  booking karna kamar penuh   uang  dikembalikan  pengembalian dana dipotong rb  administrasi    cek  dipotongnya sampe rb"
"1053","dpt kesempatan ajukan paylater udah  acc limitnya tetiba dinonaktifkan    dgn alasan gk  belom jg nikmati paylater nya udah dinonaktifkan terkesan nyuri data pengguna aja klo gitu  mengecewakan"
"1054","pemesanan pilihan pembayaran  mudah proses refund cepat  ribet"
"1055","  ya beli live jkt  blank hitam     coba  tetep   tolong diperbaiki donk uang hilang  menonton apaapa  yg kejadian   "
"1056"," positif covid  pengajuan refund  nunggu     ditolak alasannya karna  melampirkan dokumen   positif  diaplikasi  tdk  menyertakan dokumenmya heyyy aplikasi sialan  ga  bohong   positif  butuh duit tp  prosessnya     ditolak   ga berharap "
"1057","aplikasi mudah  promo diskon  menarik  kelancaran  searching semoga kedepannya   penginapa penginapan  terdaftar"
"1058","haloo  ya gabisa dibuka aplikasinya  menit masi loading"
"1059","reaktif  rapid test mengajukan refund lupa lampirkan buktinya reaktif nya karna  tau  yg  refund persen  pembelian tiket nya    hub customer service  mengirimkan bukti reaktif nya     telat     proses   kecewa"
"1060"," positif covid  batalin penerbangan  apk  uang    selebihnya kemana  dipaksakan  diperolehkan   memotong uang     modal usaha silahkan tutup  makan uang pelanggan pertimbangkan baikbaik   aplikasi  salam pengusaha pemakan hasil keringat orang  tks perhatikan  apk bodoh  disaat pengajuan refund  yg   pilihan    pilih sesuai kondisi tdk  uplod"
"1061"," tiket hangus  mis komunikasi semoga  pembenahan system     menguntungkan  pengelola  pengguna jasa terima kasih"
"1062","customer centernya sigap menginfokansenang  memakai aplikasi   support perjalanan ditengah pandemi "
"1063","pelayanan nya    mengecewakan   beli tiket      cancel refund proses nya ribet n gak  buang  n materi aplikasi yg  sngt  recomended"
"1064","pelayanan  memuaskan  respon  cepat     keluhan  orderan tiket  bonus tiket semoga  sukses"
"1065","gk   aplikasinya  komplek  penipu    pemesan  aplikasi dibilang  web     download ni aplikasi klo mesan  web  pemesanan  free rapid udh dipesan  dibilang  memenuhi syarat  team nya gk  bedain   pesan  web   aplikasi  gk  koordinasi    nuduh konsumen pesan  web  udh  konfirmasi login utk aplikasi   pemesanan"
"1066","    pelayanan customer care via telefon berbelit via wa ngga  pelayanam paylater  tisak  mohon diperbaiki"
"1067","pelayanan  bagus  sesuai yg diinginkansdh membeli tiket rafid test  bandara   rafid test  mengeluarkan biaya   uang tdk "
"1068"," pengajuan refund  sesuai sk pembatalan  tertera  pemesanan  ditolak mohon konsisten     tulis  sk  pemesanan mengecewakan  terima kasih"
"1069","pesan tiket mudah murah simpel terimakasih"
"1070","terima kasih tiket com perjalanan    nyaman dgn tiket com saran muncul   pilihan  penerbangan   terbang tinggal jam"
"1071"," merugikan pengunjung payah   check in tdk   refund diperketat  hotel yg tdk tdk  deskripsi penjelasan  peraturan hotel mohon   opsi refund    nama syariah  merugikan pengunjung uang   transfer   belah  dr hotel  aplikasi   bertanggung  hati   memuaskan"
"1072"," membantu  traveling   kota    negeri  bantuan paylatter terimakasih tiket com"
"1073","tiket kereta api   februari gaada updatean nya udah  cek dr desember ampe skrg gaada  tiketnya"
"1074","proses refund tiket pesawat berteleteleawalnya aturan refund haritiba berubah  sebulanga jelastidak rekomendasi pakai aplikasi "
"1075","aplikasinya bagus  customer carenya ribet nomor hilang  diganti   formulir pakai matrai  bank aja  ol shop  gak segitunya it payah customer carenya  payah ganti aja agent  jadul  gak bermutu"
"1076","sy  kecewa  sy sengaja memesan tiket pesawat  perjalanan  jam tetepi    seharian perjalanan    membeli tiket  sy kecewa"
"1077","harga  murah dr apk laen ya  selisih  rb lumayan   beli es teh selisihnya"
"1078","susah  ya  upload foto ektp gagal    banget hasil foto nya  sistem  bilang   mata gw yg rusak  sistem nya  mata nya hd "
"1079","  pakai aplikasi  ga  prioritasnya utk  paylater   sdh platinum beda dgn aplikasi  prioritas langsung dapet paylater"
"1080","aplikasi   bagus  kerjasama  hotel   cekin  hotel   status nya selesai balikin saldo  yg  transfer"
"1081"," membantu dimanapun kapanmu    mudah  aplikasi "
"1082","ga  payletter  dpt harga miring dr aplikasi sebelah good job"
"1083","pembayaran  cicilan bulantapi muncul tagihan    yg full  cicilan maksudnya  ya  gini  layanannya customer service berbelit belit    solusi  lamban  diliat dri komen bintang   yg  nih gak close"
"1084","aplikasi nya sungguh mantap  membantu  pemesanan tiket"
"1085","   kesal tingkat dewa  jaringan  error  jaringan stabil wahh cepat responnya terimakasih tiket com"
"1086"," membantu  memudahkan  perjalanan thanks "
"1087"," pemesanan apapun   cepat  mudah dipahamianti ribet deh pokok nya"
"1088"," memuaskan beli tiket dsinirespon  cepat  harga murah top banget deh"
"1089","masak  pesen tiket  event tpi diklik gak bisamalah  kemenu utama jg gak bisagimana si susah amatudah  smlm cb ky gini trus"
"1090","   sistem aplikasi  tolong  perbaiki     metode pembayarannya tolong    ya   kasih aja metode pembayaran   cod"
"1091"," download beli tiket event aja ga  dipilih kirain hpku yg eror trnyata beli  web  emng apk nya yg eror udh  uninstal  pasang lg tetep ga bisaaa dihh ngabisin kuota "
"1092","inii  siih   pesan tiket event  error trus gak   pesan pdahal persediaan tiket  adasaya coba  ttp gak  sampe tiket nya abis kecewa banget  pelayanan nya"
"1093","mantap prosesnya  cepat pointnya   limitnya      yuk pake referal ekaudlw gak tunggu  langsung  acc "
"1094"," kasih bintang    kasih saran kalo  metode pembayarannya ditambah gopay  dah  ya   ditambah ovo biar lengkap"
"1095","pelayanan    bikin ribet  ribet  orang   aplikasinya thank you "
"1096","aplikasi ldh digunakanpilihan penerbangan n hotel sngt bnykharga jg brsaingmetode pembayaran jg bnyk pilihantop markotop"
"1097","kecewa free rapid antigen yg sy dpt dr tiket citilink    krena kimia farma  kota bnjrmasin belom menyediakan tes tsb   rapid antigen mandiri  penukaran vg  ribet  masuk opsi to do    e tiket       step memusingkan "
"1098","maantap  membantu   tiket pesawat   memilih penerbangan sesuai bajet ekonomi"
"1099","proses refound  pake banget nominalny    hrs nunggu  pdhl  aplikasi   selasai"
"1100","mudah  bermanfaat bgt  traveller  sy utk  dr segi hargafasilitas  jaraknya"
"1101","  bintang karna  pesan tiket peswat tujuan cgksub  aplikasj tertera pemberangkatan dr terminal bandara cgk   checkin tnya satpam  salah terminal hrusnya  terminal tp   pemberitahuan  aplikasi   sms  terminal  terminal lumayan  untung       pesawat berangkat   alhasil  lari   tolong  iklan  yg  kencengin sistem  diperbaiki trims"
"1102"," aplikasi   bagus  memesan tiket apapun aplikasi  bagus  tolong   dipermudah   perefund nan  uang orang   terlanjur memesan   kehilangan uang"
"1103","aplikaai bagus cs   ramah      "
"1104","sya kasih bintang krn blom  efek membantu  sya  x pengajuan  blom disetujui  dr aplikasi yg sya  sya  data sejujurnya smuanya disetujui maaf   sya  uninstal aplikasi trims tiket com"
"1105","gampang pesan tikethotel   susah masukin kode verifikasi poin  pembayaran selebihnya pembayaran via gopay memudahkan "
"1106"," coba pake aplikasi  boss jam sbelum berangkat   cancel aplikasi   bisaerror kasian  tiket boking  hangus pikir  kali bos"
"1107","trimakasih tiket com sngat membantu  memudahkan  smoga smakin  promonya y"
