"","text"
"72","parah  refund tiket sepak bola nggak    membatalkan tiket  operator  tiket nggak   tanyak cs nya suruh nunggu      cs nya ngomong udah terlambat mengurus refund  udah  urus    cs udah nyuruh nunggu ehh ujung nya ga   ni uang"
"73"," bayar hotel  sesuai aplikasi suruh nambah sdh kasi bukti transfer jg  uang  gak  direfund kecewa pegi pegi   refund mengecewakan"
"74","penyesalan    "
"75"," mendownload   memaki aplikasi     iklan didalam  tontonan sy diviu   miskin   iklan   ha  gbisa jdi  sndiri  ngepromotanjir sial bgt bikin emosi"
"76","aplikasi abal abal   tf jam malam tiket     jam keesokan harinya  seenak ny  kembalian uang  dipaksa harga tiket  menaik kapok deh beli "
"77","bagus   mudah  beli tiket event olahraga wsbk  motogp  pake aplikasi "
"78","paylaternya kerjasama  indodana ngingetin  nagihnya arogan banget ga sopan langsung ngancem tolong ya  yg nagihnya ajarin etika   bilangin orng  ga  etika"
"79"," bookingmudah  tdk ribet"
"80","pakai promo susah bgt refund jg susah bilangnya bs refund tp  potongan  penerbangannya msh  gak recommended"
"81"," membantu  memudahkan   pembelian tiket dllnya ok"
"82","responnya  bgt gabisa ganti email  wkwkk lucu ya appsnya"
"83"," gk bener nih aplikasijgn  pakai  nih aplikasi gk "
"84","min  pembayarannya gk   dana ya  saldoku  dana  tolong tambahin dana  pembayaran  minpenting banget   war tiket konser blackpink tgl besok min"
"85"," mengecewakan  isi data penumpang  sesuai ktpsaat tiket terbit nama disingkat    dibenarkan       berurusan  maskapai aplikasi  sistemnya bersalahan"
"86"," banyakin promo ya"
"87","coba deh adain fitur koleksi  mempermudah     kesempatan  menginap  lupa nama hotelnya  tersimpan  koleksi  keseringannya lupaa"
"88","respone cs lambat mending app sebelah tra"
"89","susah pesan tiketnya beda   traveloka"
"90"," tiket     lihat   bandara kuala namo     membeli tiket   al hasil    berangkat  tujuan  menyesal pesan tiket pesawat tanggal oktober tolong aplikasi   hapus aja  play stor uang  hilang  aplikasi  uang   hilang  membeli tiket"
"91","tinggal klik pembayaran     klik  muncul reload mohon  perbaiki sistem aplikasi nya"
"92","terbaikblm ad kendala  "
"93","aplikasi brengseksaya pesan hotel tgl  oktober  dibayar  berhasiltetapi   kamarsaya komplain  csbahasanya  templatejadi buyar rencana liburan "
"94","  ga  pesen tiket pesawat ya gagal mulu"
"95","suka promo   aplikasi ngeselin bgt  krn  salah pilih pesanan  gabisa bikin pesanan    gak  tombol pembatalannya   ketinggalan promo  harganya   thumb down"
"96","parah banget gw pesen tiket pesawat x  info reschedule   keterangan  refund  kesalahan maskapai   bunga payletter tetep gw  bayar  nilai yg  besardari  juta yg gw bayaryg d kembalikan  juta   percaya  payletter  tiket com yg sumber dana nya  indodana picik banget"
"97","pesawat rubah jadwal   giliran refund suruh nunggu    bayar nya  membeli ga sampe jeda menit customer  paksa nurut sm aturan  "
"98","bintang   ditawari paylater tp sdh berkali ajukan eggak  dpt persetujuan  g kuat modal lbih  jgn menawari  mmberikan pelayanan  mngecewakan ckup  sebelah  stiap kali transaksi  dsni paylater tdk pernh d setujui"
"99","semoga aplikasi ny g kalah sm akun sebelah br nyoba pakai sih semoga cocok"
"100","pesen hotel  lokasi  sesuai   sasarin   kebon teh jalannya batu becek sampe  jatoh kepeleset bener deh yaaa mapss nya nga akurat  saranin pake google aja deh liat nya jgn sembarangan percaya  titik lokasi takutnya nga sesuai sampe nangis trauma bgt  jalan bener takuttt bgt"
"101","pelayanan nya a lambat"
"102","  akun paylater  aktif   pemberitahuan    overtime pembayaran slama "
"103","mantap harganya  murah"
"104","gps udh nyala  lokasi  udh update udh bongkar pasang  gtu jg ya gabisa pikih hotel "
"105","salah input tgl check in langsung  reschedule udah telpon belah   banget respon nya  tinggal konfirmasi"
"106"," banget refundnya   lekas ganti hotel "
"107","tolong   bank  transfernya sy pengguna bsi  kesulitan  transfer   transaksi  beda bank terima kasih"
"108","parah buruk skali booking kamar pembayaran berhasil  etiket sdh      hotel data booking  masuk  alasan laporan e tiket   terima   hotel  refound gak  uang melayang gak  tanggung jwb dri aplikasi   hotel  complain lwt chat   disuru menunggu tnp penyelesain "
"109"," gimana  dah update disuruh update    hapus  banget prosesnya biar  download ulang lagisudah ku restart   aja  muter  pencopotannya"
"110","parah log in ga  masukpadahal otp udah masuk no hp email sm ga  masukclose mulu  home page  ga niat bikin apk"
"111","aplikasi buruk   download  isi data pribadi aja susah banget  coba isi  pc    aplikasi hp ehhhh  pesan ticket isi data pembeli susah bergerak  isi form   buruk  stresssss"
"112","aplikasi tiket com mantap    rekomendasi"
"113","     limit paylater  dinonaktifkanpadahal pembayaran lancartolong penjelasannya"
"114","parah banget ga  tanggung   pelayanan aplikasi   handling  yg disebebkan  sistem  merugikan user  merugikan tiket sdh terbayar   bisanya tercancel  sistem     yg  diajak komunikasi manggapangkan   menawarkan refund sehari  jadwal terbang no recomended"
"115","aplikasi g  pembayaran gagal "
"116","mengecewakan proses refund  ribet bilangnya tanggal september   refund    okt   masuk   print rekening      dana masuk"
"117","pesan tiket ekonomi  ditolak systemgiliran lwt biro jasa calo lancarapaan inieh giliran lwt tokopedia lancar"
"118","fitur paylater gk  dibuka"
"119"," membantuk  bagus"
"120","tolong tolong banget kembalikan  veesi  versi yg  bener bener gagal total tampilan    fungsi nya menurun drastis   payment  kartu debit   "
"121","mantapsemoga    diskon  dipakai utk belanja payletternya"
"122","pelayanan terbaik bintang"
"123","better  dikomplain "
"124","tolong  tiket pay later telpon  ya  sistemnya  udah bayar  tagihannya   tagih  kalo udah  denda  orang  nelpon  ga sistem nelpon  "
"125"," profesional  menangani keluhan pelanggan sdh lakukan pembayaran  dibilang kamar penuh   utk refund krn refund   otomatis trjadi disebabkan kamar penuh bolak  cs tlp   maaf   utk  refund  yg  informasinya  utuh merugikan   mengecewakan   kali   aplikasi  hati utk yg   kasusnya spt  jgn   ditawari refund krn  penawaran yg tdk    tlp cs"
"126","payah  pesan  paylater paylater kepotongtiket  muncul"
"127","mempermudah mencari hotel"
"128","cepat akurat admint nya ramah profesional"
"129"," mudah  cepat  etiket   perintah hubungi layanan pelanggan tolong cantumkan no    hubungi customer terimakasih "
"130","cs whatsapp slow respon pembayaran berhasil  pas  dibandara pesanan  terdaftar pengembalian dana "
"131","aplikasi   membantu   proses refund  cepat"
"132","hallo min    pembayaran lunas  etiket   terbit   butuh tiket    tgl jam  mintak tolong tindak lanjuti   karna    urgent  pulang  mohon bantuannya  pengertiannya   etiket  d terbitkan   mohon kerjasama nya"
"133","aplikasi bagus pelayanan ny  refund    kerja uang   "
"134","tiket sdah  bayar  etiket tdak  kirim  cs slow respon"
"135","tambahin  fitur nya  pulsa    kalah lengkap  trvl "
"136","goodaplikasi pemesanan yg  bagus mohon  ditingkatkan"
"137"," cepat  blokir  aplikasimerugikan kamar  penuh   jual"
"138","super top markotop deh pokoknya"
"139","pembayaran  sukses  e tiket ga  kirim  chekin keberangkatan cs   satupun  "
"140","etiket    uda  bayar   suruh nunggu jam  jam  pesawat flight anehhh keberangkatan  percepat  ga  pemberitahuan ga worth it bgt tolong kembalikan uang   e tiket ga muncul    bandara  boarding pass  tolak tolong respon yg cepat  kesalahan sistem   kesalahan    bayar uang tiket lunas"
"141","kecewa tiket   bokingsudah selesai pembayaran uang tiket nya  pas cek in  bandara kode boking nya  tiket nya ngak   terbitkandi kensel     kontek cs nya ngak merespon kembalikan uang kungak   percaya"
"142"," instal pas  login  bilang sesi       home   pesan tiket tolong  perbaiki bug nya"
"143","sesimu  habis sesimu  habis mulu gajelas"
"144","aplikasi error "
"145","aplikasi nya lemot x"
"146","jgn download apk  sumpah  sampah gx  login  le home "
"147","mw booking hotel utk liburan keluarga lwt aplikasi      home page gmn sih wasting time "
"148"," nanya nih min  ya paylater    aktif     aja  pelunasan   aktif"
"149","pemesanan mudah harga bersaing"
"150","pelayanan  buruk   kordinasi  pemilik hotel  miss komunikasi"
"151","pelayanan yg cepat mempermudah  pemesanan"
"152"," pesan tiket pesawat  masukan tgl lahir  dibatasin  lahir yg lahir nda  booking ya"
"153"," puas respon cepat"
"154","memudahkan  perjalanan bisnis  liburan  keluarga"
"155","    tulis review  pesanan  sih  berkalikali  berharihari  nggak "
"156","harga  murah  banding apk sebelah"
"157","aplikasi yg  membantu disaat  destinasy tp sayang paylater nya   nonaktifkan     bayar  jatuh tempo   nonaktifkan    keterangan tolong  bantu "
"158","parah ni aplikasi  pesan hotel  aplikasi   bayar  hotel bilang  masuk orderannya  telp call centre  sibuk  weekend  diputer suruh pencet no ext   wa  bales  chat instagram  respon gak  pesen pakai aplikasi  nyusahin dzolim"
"159"," gagal  transaksi"
"160","  refund   dibayar susah pesan kamar    penginapan kamar  terisi pelanggan kecewa "
"161","so farsolusi yg ditawarkan      berhasil good job customer care team"
"162"," tiket paylater    aktif  non aktif "
"163"," pesan tiket    motor  cantumkan  udah pesan tiket orang  masuk wahana dufan sungguh kecewa pake e tiket "
"164","pelayanannya  buruk  lambat   menunggu    refund tiket     kedepan   lempar tanggung   maskapai  maskapai  bilang      travel  tiket  app  dibuka x lipat beda harga tolong uang refund   kembalikan cs  whatsapp  berbelitbelit"
"165","parahhh proses nya bertele tele jgn pakai aplikasi  pakai pegi pegi aja"
"166","booking hotel  pagi   bayar lunas  hotel  check in pesanan  ga masuk akirnya tdk bsa check in slow respon bgt   tangani  ditangani    tlf gabsa  download   aplikasi  refund ketentuannya  gabisa rugi bgt "
"167"," buruk proses refund       membantu secepatnya    email  email yg masuk hanyak email promosi"
"168","tdk  booking hrs mengisi kolom email tp kolomnya  klik ga  tolong  perbaiki"
"169"," membantu  dipermudah"
"170","aplikasi   membantu   nunggu antrian   tiket"
"171","  pemesanan disuruh ngisi email    diklik   diisi emailnya"
"172","     terbaik"
"173"," tiket pay later   non aktifkan   bayar   "
"174","aplikasi  membantu       harhga tiket apun  dijamin  murah transaksi aman  terpercaya"
"175","   app     kalah  app sebelah  menginstal app    promonya  selebihnya  app   terafiliasi  pemerintah terkait pemesan tiket mbkm  ditingkatkan  app nya"
"176"," semenit buka aplikasi udah  tulisan sesi   selesai harap     bolak  gitu aja"
"177","rebutan beli tiket aplikasi gangguan  klo    jualan tiket jual cireng aja aplikasi error log out otomatis gembel"
"178","   "
"179"," pesan tiket kereta error mulu perbaikan ga selesai selesai"
"180","iklan ya ganggu  main game bitang    menggangu orang main"
"181"," beli tiket timnas pas  h  pas  h   tukar gelang  masuk tiket   bayar  gak  masuk  nya pas  h nya penjualan tiket  tutup     bdg"
"182"," gimana  ganti data nomer hp    hilang ko  pelaporan ga  konfirmasi   pergantian no hp nya yah"
"183","  iklan muncul  mengganggu ancok jgn munculkan iklan lg aplikasi   menggangu bentar bentar iklan bikin muak sebel su asu"
"184"," ribet refund dana menunggu  kerja aplikasi sebelah      hotel  memutuskan kerja samanyatapi  dipasang  aplikasi"
"185"," kecewa   pesen tiket timnas vs curacao gabisa  stuk  lanjutkan pembayaran gabisa  klik ngadu  cs    berguna   membantu payah"
"186","tolong  pas pembayaran  ngga muncul metode pembayaranya    bayarr"
"187","email promo  ga kaya yg  berhenti langganan susah    log in "
"188","ruwetd aplikasi tersediasudah d bayar   tersediadan dana pengembalian tidaklangsungtunggu maximal "
"189","daftar paylater susah  langsung uninstall deh beda  aplikasi biru sebelah  gampang daftarnyalangsung acc"
"190","parah banget nih aplikasi  asn yg  pesan   ga   sekedar  dirubah dikit  invoice  memudahkan  spj    perubahannya   memanipulasi   diperjelas  diinvoicenya parah dah"
"191","maaf  rubah penilaiannya apk  sgt bgus  recommended utk smua tiket serba murah dbnding   kendalanya  check in online      tersedia  tau   sya hrap   perbaiki lgi errornya"
"192","nyaman cepat "
"193"," tdk konek kalo bayar pake ovo  link aja   isi data  diulang   nyaman pake aplikasinya"
